year,fire_name,acres,county,latitude,longitude
2013,201813013,0.27,Siskiyou,41.925417,-122.57645
2013,201813014,0.08,San Bernardino,34.071567,-117.099083
2013,201813015,0.07,Sonoma,38.765583,-122.786133
2013,201813016,0.05,Riverside,33.735433,-117.0802
2013,201813017,0.05,Sonoma,38.33175,-123.045583
2013,201813018,1.5,San Luis Obispo,35.1252,-120.605433
2013,201813019,1.5,Humboldt,40.014433,-123.988333
2013,201813020,2.3,Shasta,40.621833,-122.259833
2013,201813021,0.27,Shasta,40.467667,-122.54135
2013,201813022,0.25,Sutter,39.18765,-121.9057
2013,201813023,0.25,Placer,39.046383,-120.985367
2013,201813024,0.25,Riverside,33.787433,-117.0336
2013,201813025,0.1,Butte,39.777667,-121.9051
2013,201813026,0.1,Placer,38.8783,-121.125833
2013,201813027,0.1,Riverside,33.961517,-116.9683
2013,201813028,0.1,Santa Cruz,37.0459,-122.073517
2013,201813029,0.1,Santa Cruz,36.88335,-121.797033
2013,201813030,0.1,Napa,38.2701,-122.271817
2013,201813031,0.1,Madera,37.014583,-120.069833
2013,201813032,0.1,Shasta,40.7114,-121.722683
2013,201813033,0.1,Madera,36.968967,-120.072783
2013,201813034,0.1,Riverside,33.71275,-117.2408
2013,201813035,0.1,Merced,37.437733,-120.795967
2013,201813036,0.1,Sonoma,38.413317,-122.973333
2013,201813037,0.1,Yuba,39.199033,-121.510867
2013,201813038,0.1,San Bernardino,34.206317,-117.108533
2013,201813039,0.1,Butte,39.713767,-121.71155
2013,201813040,0.1,Butte,39.879233,-121.610867
2013,201813041,0.1,Merced,37.30235,-120.651083
2013,201813042,0.1,Fresno,36.658483,-119.4467
2013,201813043,0.1,San Luis Obispo,35.756067,-120.896633
2013,201813044,0.1,Riverside,33.598233,-116.233367
2013,201813045,0.1,Santa Cruz,36.905833,-121.820217
2013,201813046,0.1,Tulare,36.3904,-118.9541
2013,201813047,0.1,Santa Cruz,37.0105,-122.193667
2013,201813048,0.1,Shasta,41.16325,-121.51675
2013,201813049,0.1,Humboldt,40.552767,-124.069917
2013,201813050,0.1,Napa,38.505867,-122.201933
2013,201813051,0.1,Fresno,36.679367,-119.792667
2013,201813052,1.0,Riverside,33.967817,-116.5039
2013,201813053,1.0,Merced,37.559083,-120.425883
2013,201813054,1.0,Alameda,37.737833,-121.621833
2013,201813055,1.0,Riverside,33.838667,-117.1183
2013,201813056,1.0,Merced,37.228467,-120.243717
2013,201813057,1.0,Riverside,33.851217,-117.355967
2013,201813058,1.0,Yuba,39.181333,-121.54465
2013,201813059,1.0,Fresno,36.547017,-119.5981
2013,201813060,0.1,Riverside,33.926717,-116.9211
2013,201813061,0.1,Butte,39.631617,-121.380667
2013,201813062,0.1,Butte,39.525967,-121.469383
2013,201813063,0.1,San Diego,32.727167,-116.851
2013,201813064,0.1,Riverside,33.99445,-117.4324
2013,201813065,0.1,Siskiyou,41.632833,-122.748617
2013,201813067,0.1,Sonoma,38.149467,-122.4518
2013,201813068,0.1,San Benito,36.85985,-121.593367
2013,201813069,0.1,San Bernardino,34.245283,-117.17975
2013,201813070,0.1,Trinity,40.689167,-122.9555
2013,201813071,0.1,Riverside,33.92375,-116.640533
2013,201813072,0.1,Amador,38.4922,-120.537433
2013,201813073,0.1,Mendocino,39.375767,-123.33255
2013,201813074,0.1,El Dorado,38.7033,-120.86025
2013,201813075,0.1,Lassen,40.462267,-120.569383
2013,201813076,0.1,Santa Cruz,37.098817,-122.0573
2013,201813077,0.1,Santa Cruz,37.043933,-122.061117
2013,201813078,0.1,Calaveras,37.96415,-120.635867
